PERMITTED_VALUE	LONG_NAME	DEFINITION
6 Months After Starting Study Agent	Six Month Post Protocol Agent Begin	A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._A medical product, practice, or application that is tested in a clinical trial._Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.
6 Months After Visit 1	Six Month Post Visit One	A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._The smallest natural number and quantity it denotes: a single entity, unit, or object.
6 Months After Visit 2	Six Month Post Visit Two	A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
6 Months Post Randomization	6 Months Post Randomization	6 Months Post Randomization
6 hours post dose	6 hours post dose	6 hours post dose
6 hours post start of Triapine (3AP) infusion (IV)	6 hours post start of Triapine (3AP) infusion (IV)	6 hours post start of Triapine (3AP) infusion (IV)
6 months	6 MONTHS	6 MONTHS
6 months after RT	6 months of radiation therapy	6 months of radiation therapy
6 months after cross-over	6 months after cross-over	6 months after cross-over
6 months after randomization	6 months after randomization	6 months after randomization
6 months after surgery	6 months after surgery	6 months after surgery
6 months from end of treatment	6 months from end of treatment	6 months from end of treatment
6 months post RT Completion	6 months post RT Completion	6 months post RT Completion
6 months post-LITT	6 months post-LITT	6 months post Laser Interstitial Thermal Therapy
6 weeks after start of study therapy	6 weeks after start of study therapy	6 weeks after start of study therapy
6 weeks after surgery	Six Week Post Surgical Procedure	A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one.: Any period of seven consecutive days.: Happening at a time subsequent to a reference time; later in time or order.: A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.
6 weeks after your first study visit	6 weeks after your first study visit	6 weeks after your first study visit
6-12 hr	6-12 hr	6-12 hr
6-8 weeks post chemo/RT	6-8 weeks post chemo/RT	6-8 weeks post chemo/RT
6-Month Follow-up	6-Month Follow-up	6-Month Follow-up
60 minutes (1 hour)	Sixty Minute	A natural number greater than fifty-nine and less than sixty-one and the quantity that it denotes.: A unit measure of time equal to 60 seconds.
60 months	60 months	A number with no fractional part, including the negative and positive numbers as well as zero.::60: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
60 months after RT	60 months after radiation therapy	60 months after radiation therapy
60 months following randomization	60 months following randomization	60 months following randomization
60 months post randomization	60 Months Post Randomization	60 Months Post Randomization
60 months post-treatment initiation (+/- 12 months)	60 months post-treatment initiation (+/- 12 months)	60 months post-treatment initiation (+/- 12 months)
60 weeks	Sixty Week	A natural number greater than fifty-nine and less than sixty-one and the quantity that it denotes._Any period of seven consecutive days.
68 weeks	68 weeks	68 weeks
69 months	69 months post therapeutic procedure	69 months post therapeutic procedure
7 hours post start of Triapine (3AP) infusion (IV)	7 hours post start of Triapine (3AP) infusion (IV)	7 hours post start of Triapine (3AP) infusion (IV)
7 months	Seven Month	A natural number greater than 6 and less than 8 and the quantity that it denotes: the sum of six and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
7 weeks	Week 7	A natural number greater than 6 and less than 8 and the quantity that it denotes: the sum of six and one.: Any period of seven consecutive days.
7-12 hr	7-12 hr	7-12 hr
72 months	Seventy Two Month	The natural number greater than seventy-one and less than seventy-three and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
72 weeks	Seventy Two Week	The natural number greater than seventy-one and less than seventy-three and the quantity that it denotes._Any period of seven consecutive days.
8 +/- 1 weeks following initiation of treatment	8 +/- 1 weeks following initiation of treatment	8 +/- 1 weeks following initiation of treatment
8 hours post dose	8 hours post dose	8 hours post dose
8 months	Eight Month	A natural number greater than 7 and less than 9 and the quantity that it denotes: the sum of seven and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
8 weeks	Week 8	A natural number greater than 7 and less than 9 and the quantity that it denotes: the sum of seven and one.: Any period of seven consecutive days.
80 weeks	80 weeks	80 weeks
84 months	Eighty Four Month	The natural number greater than eighty-three and less than eighty-five and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
84 weeks	Eighty Four Week	The natural number greater than eighty-three and less than eighty-five and the quantity that it denotes._Any period of seven consecutive days.
9 - 12 months post-treatment initiation	9 - 12 months post-treatment initiation	9 - 12 months post-treatment initiation
9 months	9 MONTHS	9 MONTHS
9 months after cross-over	9 months after cross-over	9 months after cross-over
9 months after randomization	9 months after randomization	9 months after randomization
9 months from baseline	9 MONTHS FROM BASELINE	9 MONTHS FROM BASELINE
9 months from start of ARM 1 or ARM 2 therapy	9 months from start of ARM 1 or ARM 2 therapy	9 months from start of ARM 1 or ARM 2 therapy
9 months post-treatment initiation (+/- 3 months)	9 months post-treatment initiation (+/- 3 months)	9 months post-treatment initiation (+/- 3 months)
9 weeks	Week 9	A natural number greater than 8 and less than 10 and the quantity that it denotes: the sum of nine and one.: Any period of seven consecutive days.
92 weeks	92 weeks	92 weeks
96 months	Ninety Six Month	A natural number greater than ninety-five and less than ninety-seven and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
96 weeks	Ninety Six Week	A natural number greater than ninety-five and less than ninety-seven and the quantity that it denotes._Any period of seven consecutive days.
A	A	10 - 21 days after the last dose of AC
A-R	A-R	Repeat LVEF assessment 6 weeks after Time Point A
Active Treatment, Current Cycle	Active Treatment, Current Cycle	Active Treatment, Current Cycle
Active Treatment, Every 3 Months	Active Treatment, Every 3 Months	Active Treatment, Every 3 Months
Adjuvant	Adjuvant	An agent that enhances the activity or therapeutic effect of another pharmacologic substance without having much, if any, therapeutic impact by itself.
Adjuvant Chemotherapy	ADJUVANT CHEMOTHERAPY	Chemotherapy that is administered subsequent to the main treatment plan to minimize or prevent disease recurrence.
Adjuvant Radiation Therapy	Adjuvant Radiation Therapy	Radiation therapy that is administered subsequent to the main treatment plan to minimize or prevent disease recurrence.
After 1st dose escalation	Post First Dose Escalation	Happening at a time subsequent to a reference time; later in time or order._Preceding all others in time or space or degree._A stepwise increase in the amount of a therapeutic or investigational agent given to an individual.
After 2nd dose escalation	Post Second Dose Escalation	Happening at a time subsequent to a reference time; later in time or order._Coming next after the first in position in space or time or degree or magnitude._A stepwise increase in the amount of a therapeutic or investigational agent given to an individual.
After 4 post-operative doses of bevacizumab	After 4 post-operative doses of bevacizumab	After 4 post-operative doses of bevacizumab
After 6 weeks of treatment	After 6 weeks of treatment	After 6 weeks of treatment
After AC therapy	After AC therapy	After AC therapy
After Cycle 3 Crizotinib Continuation	After Cycle 3 Crizotinib Continuation therapy (Arm E)	After Cycle 3 Crizotinib Continuation therapy (Arm E)
After Cycle 3 Crizotinib Continuation therapy (Arm E)	After Cycle 3 Crizotinib Continuation therapy (Arm E)	After Cycle 3 Crizotinib Continuation therapy (Arm E)
After Cycle 3 Lorlatinib Continuation Therapy (Arm E)	After Cycle 3 Lorlatinib Continuation Therapy (Arm E)	After Cycle 3 Lorlatinib Continuation Therapy (Arm E)
After Cycle 3 Post-Consolidation Therapy	After Cycle 3 Post-Consolidation Therapy	After Cycle 3 Post-Consolidation Therapy
After Cycle 6 Crizotinib Continuation	After Cycle 6 Crizotinib Continuation therapy (Arm E)	After Cycle 6 Crizotinib Continuation therapy (Arm E)
After Cycle 6 Crizotinib Continuation Therapy (Arm E)	After Cycle 6 Crizotinib Continuation Therapy (Arm E)	After Cycle 6 Crizotinib Continuation Therapy (Arm E)
After Cycle 6 Lorlatinib Continuation Therapy (Arm E)	After Cycle 6 Lorlatinib Continuation Therapy (Arm E)	After Cycle 6 Lorlatinib Continuation Therapy (Arm E)
After cycle 6	After cycle 6	After cycle 6
After randomization but before study therapy begins	After randomization but before study therapy begins	After randomization but before study therapy begins
After the completion of all chemotherapy	After the completion of all chemotherapy	After the completion of all chemotherapy
As needed	As needed	As needed
At completion of chemoradiation	At completion of chemoradiation	At completion of chemoradiation
At completion of planned preoperative systemic therapy	At completion of planned preoperative systemic therapy	At completion of planned preoperative systemic therapy
At end of RT	At end of RT	At end of RT
At the time progressive disease is determined	At Determine Progressive Disease	Used to indicate position, location, or state._The establishment of a state or result._A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.
At time of first image	First Image	Preceding all others in time or space or degree.: Any record of an imaging event whether physical or electronic.
At time patient discontinues treatment	At time patient discontinues treatment	At time patient discontinues treatment
B	B	3 months following randomization
B-R	B-R	Repeat LVEF assessment 3 weeks after Time Point B
Baseline (within 30 days prior to surgery)	Baseline (within 30 days prior to surgery)	Baseline (within 30 days prior to surgery)
Baseline/PreRT	Baseline/PreRT	Baseline/PreRT
Baseline: post-surgery and pre-radiation	Baseline: post-surgery and pre-radiation	Baseline: post-surgery and pre-radiation
Before 1st dose escalation	Prior First Dose Escalation	Earlier in time or order._Preceding all others in time or space or degree._A stepwise increase in the amount of a therapeutic or investigational agent given to an individual.
Before 2nd dose escalation	Prior Second Dose Escalation	Earlier in time or order._Coming next after the first in position in space or time or degree or magnitude._A stepwise increase in the amount of a therapeutic or investigational agent given to an individual.
Before Surgery	Before Surgery	Earlier in time or order._A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.
Before preoperative systemic therapy	Before preoperative systemic therapy	Before preoperative systemic therapy
Best response	Best Disease Response	Having the most positive qualities.: The pathologic and/or clinical changes that result from treatment. The changes may include eradication of detectable disease, stabilization of disease, or disease progression.
Breast cancer recurrence	Breast cancer recurrence	Breast cancer recurrence
C	C	6 months following randomization
C-R	C-R	Repeat LVEF assessment 3 weeks after Time Point C
C1D1 2hr	Cycle 1, Day, 1 (for Arm A patients)  OR  First dose of axitinib given (For Arm C cross-over patients), 2hr after AM dose of axitinib	Cycle 1, Day, 1 (for Arm A patients)  OR  First dose of axitinib given (For Arm C cross-over patients), 2hr after AM dose of axitinib
C1D1 4 hr	Cycle 1, Day, 1 (for Arm A patients)  OR  First dose of axitinib given (For Arm C cross-over patients), 4hr after AM dose of axitinib	Cycle 1, Day, 1 (for Arm A patients)  OR  First dose of axitinib given (For Arm C cross-over patients), 4hr after AM dose of axitinib
C1D1 6hr	Cycle 1, Day, 1 (for Arm A patients)  OR  First dose of axitinib given (For Arm C cross-over patients), 6hr after AM dose of axitinib	Cycle 1, Day, 1 (for Arm A patients)  OR  First dose of axitinib given (For Arm C cross-over patients), 6hr after AM dose of axitinib
C2D1	Cycle 2, Day 1 (pre-dose) (for crossover patients, this refers to Cycle 2, Day 1 of combination therapy)	Cycle 2, Day 1 (pre-dose) (for crossover patients, this refers to Cycle 2, Day 1 of combination therapy)
C3D1	Cycle 3, Day 1 (pre-dose) (for crossover patients, this refers to Cycle 3, Day 1 of combination therapy)	Cycle 3, Day 1 (pre-dose) (for crossover patients, this refers to Cycle 3, Day 1 of combination therapy)
Chemotherapy	Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.  Although this term may be used to describe any therapy involving the use of chemical-based agents, it is most commonly used to refer to the variety of chemical-based agents employed to treat cancer.  Cancer chemotherapy works by arresting or killing the growth and spread of cancer cells.  Because cancer cells usually divide much faster than normal cells, they are often very sensitive to the inhibitory actions of chemotherapeutic agents.  Chemotherapy may also include agents that enhance immune function or alter hormonal activity. (NCI04)
Complication 	Complication	Any disease or disorder that occurs during the course of, or because of, another disease, treatment, or procedure.
Confirmation of Response	Response Confirmation	Any act or phenomena, or behavior, constituting a reply or reaction of a living organism or its part to some foregoing stimulus or agent.: Having been established or verified.
Cycle 1	Cycle One	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: The smallest natural number and quantity it denotes: a single entity, unit, or object.
Cycle 1 Day 16	Cycle 1 Day 16	Cycle 1 Day 16
Cycle 1 Day 2	Cycle 1 Day 2	Cycle 1 Day 2
Cycle 1 Day 21	Cycle 1 Day 21	Cycle 1 Day 21
Cycle 1 Day 22	Cycle 1 Day 22	Cycle 1 Day 22
Cycle 1 Day 28	Cycle 1 day 28	Cycle 1 day 28
Cycle 1 Day 29	Cycle 1 Day 29	Cycle 1 Day 29
Cycle 1 Day 8	Cycle 1 Day 8	Day 8 of the first cycle
Cycle 1 Day 9	Cycle 1 Day 9	Cycle 1 Day 9
Cycle 1 day 1	Cycle 1 day 1	Cycle 1 day 1
Cycle 1 day 15	Cycle 1 day 15	Cycle 1 day 15
Cycle 1, Day -6	Cycle One Day Negative 6	Cycle One Day Negative 6
Cycle 1, Day 1, (2 hr after AM dose of axitinib)	Cycle 1, Day 1, 2 hr after AM dose of axitinib)	Cycle 1, Day 1, 2 hr after AM dose of axitinib)
Cycle 1, Day 1, (4 hr after AM dose of axitinib	Cycle 1, Day 1, 4 hr after AM dose of axitinib	Cycle 1, Day 1, 4 hr after AM dose of axitinib
Cycle 1, Day 1, (6 hr after AM dose of axitinib)	Cycle 1, Day 1, 6 hr after AM dose of axitinib)	Cycle 1, Day 1, 6 hr after AM dose of axitinib)
Cycle 1, Day 6	Cycle One Day Six	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: The smallest natural number and quantity it denotes: a single entity, unit, or object.: The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.: A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one.
Cycle 10	Cycle Ten	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.
Cycle 11	Cycle Eleven	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 10 and less than 12 and the quantity that it denotes.
Cycle 12	Cycle Twelve	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 11 and less than 13 and the quantity that it denotes.
Cycle 12 or 12 months	Cycle 12 or 12 months	Cycle 12 or 12 months
Cycle 13	Cycle Thirteen	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 12 and less than 14 and the quantity that it denotes.
Cycle 14	Cycle Fourteen	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 13 and less than 15 and the quantity that it denotes.
Cycle 15	Cycle Fifteen	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 14 and less than 16 and the quantity that it denotes.
Cycle 16	Cycle Sixteen	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 15 and less than 17 and the quantity that it denotes.
Cycle 17	Cycle Seventeen	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 16 and less than 18 and the quantity that it denotes.
Cycle 18	Cycle Eighteen	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than seventeen and less than nineteen and the quantity that it denotes.
Cycle 18 Day 1 (+/- 2 weeks)	Cycle 18 Day 1 (+/- 2 weeks)	Cycle 18 Day 1 (+/- 2 weeks)
Cycle 19	Cycle Nineteen	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than eighteen and less than twenty and the quantity that it denotes.
Cycle 2	Cycle Two	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
Cycle 2 Day 1	Cycle 2 Day 1	Cycle 2 Day 1
Cycle 2 Day 15	Cycle 2 Day 15	Cycle 2 Day 15
Cycle 2 Day 16	Cycle 2 Day 16	Cycle 2 Day 16
Cycle 2 Day 2	Cycle 2 Day 2	Cycle 2 Day 2
Cycle 2 Day 8	Cycle 2 Day 8	Cycle 2 Day 8
Cycle 2 Day 9	Cycle 2 Day 9	Cycle 2 Day 9
Cycle 2, Day 1 (pre-dose) (for crossover patients, this refers to the second axitinib-containing cycle)	Cycle 2, Day 1 (pre-dose) (for crossover patients, this refers to the second axitinib-containing cycle)	Cycle 2, Day 1 (pre-dose) (for crossover patients, this refers to the second axitinib-containing cycle)
Cycle 20	Cycle Twenty	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than nineteen and less than twenty-one and the quantity that it denotes.
Cycle 21	Cycle 21	Cycle 21
Cycle 22	Cycle 22	Cycle 22
Cycle 23	Cycle 23	Cycle 23
Cycle 24	Cycle 24	Cycle 24
Cycle 25	Cycle 25	Cycle 25
Cycle 26	Cycle 26	Cycle 26
Cycle 27	Cycle 27	Cycle 27
Cycle 28	Cycle 28	Cycle 28
Cycle 29	Cycle 29	Cycle 29
Cycle 3	Cycle Three	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one.
Cycle 3 Day 1	Cycle 3 Day 1	Cycle 3 Day 1
Cycle 3 Day 15	Cycle 3 Day 15	Cycle 3 Day 15
Cycle 3 Day 16	Cycle 3 Day 16	Cycle 3 Day 16
Cycle 3 Day 2	Cycle 3 Day 2	Cycle 3 Day 2
Cycle 3 Day 8	Cycle 3 Day 8	Cycle 3 Day 8
Cycle 3 Day 9	Cycle 3 Day 9	Cycle 3 Day 9
Cycle 3 or 3 months	Cycle 3 or 3 months	Cycle 3 or 3 months
Cycle 3, Day 1 (pre-dose) (for crossover patients, this refers to the third axitinib-containing cycle)	Cycle 3, Day 1 (pre-dose) (for crossover patients, this refers to the third axitinib-containing cycle)	Cycle 3, Day 1 (pre-dose) (for crossover patients, this refers to the third axitinib-containing cycle)
Cycle 30	Cycle 30	Cycle 30
Cycle 31	Cycle 31	Cycle 31
Cycle 32	Cycle 32	Cycle 32
Cycle 33	Cycle 33	Cycle 33
Cycle 34	Cycle 34	Cycle 34
Cycle 35	Cycle 35	Cycle 35
Cycle 4	Cycle Four	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 3 and less than 5 and the quantity that it denotes: the sum of three and one.
Cycle 4 Day 1	Cycle 4 Day 1	Cycle 4 Day 1
Cycle 4 Day 15	Cycle 4 Day 15	Cycle 4 Day 15
Cycle 4 Day 16	Cycle 4 Day 16	Cycle 4 Day 16
Cycle 4 Day 2	Cycle 4 Day 2	Cycle 4 Day 2
Cycle 4 Day 8	Cycle 4 Day 8	Cycle 4 Day 8
Cycle 4 Day 9	Cycle 4 Day 9	Cycle 4 Day 9
Cycle 5	Cycle Five	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one.
Cycle 5 Day 1	Cycle Five Day One	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one.: The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.: The smallest natural number and quantity it denotes: a single entity, unit, or object.
Cycle 5 Day 15	Cycle 5 Day 15	Cycle 5 Day 15
Cycle 5 Day 16	Cycle 5 Day 16	Cycle 5 Day 16
Cycle 5 Day 2	Cycle 5 Day 2	Cycle 5 Day 2
Cycle 5 Day 8	Cycle 5 Day 8	Cycle 5 Day 8
Cycle 5 Day 9	Cycle 5 Day 9	Cycle 5 Day 9
Cycle 6	Cycle 6	Cycle 6
Cycle 6	Cycle Six	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one.
Cycle 6 Day 1	Cycle 6 Day 1	Cycle 6 Day 1
Cycle 6 Day 15	Cycle 6 Day 15	Cycle 6 Day 15
Cycle 6 Day 16	Cycle 6 Day 16	Cycle 6 Day 16
Cycle 6 Day 2	Cycle 6 Day 2	Cycle 6 Day 2
Cycle 6 Day 8	Cycle 6 Day 8	Cycle 6 Day 8
Cycle 6 Day 9	Cycle 6 Day 9	Cycle 6 Day 9
Cycle 6 or 6 months	Cycle 6 or 6 months	Cycle 6 or 6 months
Cycle 7	Cycle Seven	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 6 and less than 8 and the quantity that it denotes: the sum of six and one.
Cycle 7 Day 1 (+/- 2 weeks)	Cycle 7 Day 1 (+/- 2 weeks)	Cycle 7 Day 1 (+/- 2 weeks)
Cycle 8	Cycle Eight	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 7 and less than 9 and the quantity that it denotes: the sum of seven and one.
Cycle 9	Cycle Nine	An event or sequence of events that constitute a round or succession of observable phenomena, recurring usually at regular or approximately regular time intervals and in the same sequence.: A natural number greater than 8 and less than 10 and the quantity that it denotes: the sum of nine and one.
D	D	9 months following randomization
D-R	D-R	Repeat LVEF assessment 3 weeks after Time Point D
Day +100 +/-20	Day +100 +/-20	Day +100 +/-20
Day +30 +/-7	Day +30 +/-7	Day +30 +/-7
Day +365 +/-30	Day +365 +/-30	Day +365 +/-30
Day +60 +/-14	Day +60 +/-14	Day +60 +/-14
Day 0	Day 0	Day 0
Day 0 - Day 20	Day 0 - Day 20	Day 0 - Day 20
Day 1	Day 1	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day._The smallest natural number and quantity it denotes: a single entity, unit, or object.
Day 1 +12 hrs	Day 1 +12 hrs	Day 1 +12 hrs
Day 1 +2 hrs	Day 1 +2 hrs	Day 1 +2 hrs
Day 1 +20 hrs	Day 1 +20 hrs	Day 1 +20 hrs
Day 1 +24 hrs	Day 1 +24 hrs	Day 1 +24 hrs
Day 1 +30 min	Day 1 +30 min	Day 1 +30 min
Day 1 +4 hrs	Day 1 +4 hrs	Day 1 +4 hrs
Day 1 +45 min	Day 1 +45 min	Day 1 +45 min
Day 1 +60 min	Day 1 +60 min	Day 1 +60 min
Day 1 +8 hrs	Day 1 +8 hrs	Day 1 +8 hrs
Day 1 +90 min	Day 1 +90 min	Day 1 +90 min
Day 1 - 1 hr after infusion start	Day 1 - 1 hr after infusion start	Day 1 - 1 hr after infusion start
Day 1 - 2 hr after completing infusion	Day 1 - 2 hr after completing infusion	Day 1 - 2 hr after completing infusion
Day 1 - 2 hr after infusion start	Day 1 - 2 hr after infusion start	Day 1 - 2 hr after infusion start
Day 1 - 3 hr after completing infusion	Day 1 - 3 hr after completing infusion	Day 1 - 3 hr after completing infusion
Day 1 - 30 min after starting dose	Day 1 - 30 min after starting dose	Day 1 - 30 min after starting dose
Day 1 - End of infusion	Day 1 - End of infusion	Day 1 - End of infusion
Day 1 - Predose	Day 1 - Predose	Day 1 - Predose
Day 1 Pre-dose	Day 1 Pre-dose	Day 1 Pre-dose
Day 1 of Cycle 4	Day 1 of Cycle 4	Day 1 of Cycle 4
Day 1 of Midostaurin/placebo	Day 1 of Midostaurin/placebo	Day 1 of Midostaurin/placebo
Day 1 of each course	Day 1 of each course	Day 1 of each course
Day 1, Dose 1	Day 1, Dose 1	Day 1, Dose 1
Day 1, Dose 2	Day 1, Dose 2	Day 1, Dose 2
Day 10	Day 10	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.
Day 100 - 180 Post-HCT	Day 100 - 180 Post-HCT	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.: A natural number greater than ninety-nine and less than one hundred-one and the quantity that it denotes.: Used as a function word to indicate direction, purpose, or movement.: A number with no fractional part, including the negative and positive numbers as well as zero.::180: Happening at a time subsequent to a reference time; later in time or order.: A therapeutic procedure that involves the transplantation of hematopoietic stem cells, either with the patient as their own donor or from a donor to a patient. This can be used for treatment of malignant and non-malignant diseases.
Day 105	Day 105	Day 105
Day 11	Day 11	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.: A number with no fractional part, including the negative and positive numbers as well as zero.
Day 113	Day 113	Day 113
Day 12	Day Twelve	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day._A natural number greater than 11 and less than 13 and the quantity that it denotes.
Day 126	Day 126	Day 126
Day 13	Day Thirteen	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day._A natural number greater than 12 and less than 14 and the quantity that it denotes.
Day 14	Day 14	Day 14
Day 14 of Midostaurin/placebo	Day 14 of Midostaurin/placebo	Day 14 of Midostaurin/placebo
Day 15	Day 15	Day 15
Day 15 - 1 hr after infusion start	Day 15 - 1 hr after infusion start	Day 15 - 1 hr after infusion start
Day 15 - 30 min after starting dose	Day 15 - 30 min after starting dose	Day 15 - 30 min after starting dose
Day 15 - End of infusion	Day 15 - End of infusion	Day 15 - End of infusion
Day 15 - Predose	Day 15 - Predose	Day 15 - Predose
Day 18	Day 18	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.: A number with no fractional part, including the negative and positive numbers as well as zero.
Day 180 - 270 Post-HCT	Day 180 - 270 Post-HCT	Day 180 - 270 Post-HCT
Day 2	Day 2	Day 2
Day 21	Day 21	A number with no fractional part, including the negative and positive numbers as well as zero.::21: The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.
Day 21 - Day 41	Day 21 - Day 41	Day 21 - Day 41
Day 22	Day 22	Day 22
Day 23	Day 23	A number with no fractional part, including the negative and positive numbers as well as zero.::23: The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.
Day 25	Day 25	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.: A number with no fractional part, including the negative and positive numbers as well as zero.
Day 270 - 365 Post-HCT	Day 270 - 365 Post-HCT	Day 270 - 365 Post-HCT
